seed,variant,spend_multiplier,mean,ci_lo,ci_hi,true_mroi,pct_error,truth_in_ci
99,truth,1.0,5.851015689322639,,,5.851015689322639,0.0,
99,truth,2.0,4.716504464073664,,,4.716504464073664,0.0,
99,truth,3.0,3.9078035602260175,,,3.9078035602260175,0.0,
99,truth,5.0,2.841578081710171,,,2.841578081710171,0.0,
99,truth,10.0,1.564196790180722,,,1.564196790180722,0.0,
99,default,1.0,5.942654132843018,5.38761568069458,6.475522041320801,5.851015689322639,1.5661971935506225,1.0
99,default,2.0,3.9478085041046143,3.484846591949463,4.391051292419434,4.716504464073664,-16.2980013233174,0.0
99,default,3.0,2.853555679321289,2.4597935676574707,3.2441179752349854,3.9078035602260175,-26.978016286052863,0.0
99,default,5.0,1.7229722738265991,1.4247969388961792,2.0232434272766113,2.841578081710171,-39.36565442573908,0.0
99,default,10.0,0.7368530631065369,0.5801514387130737,0.9043712019920349,1.564196790180722,-52.892560083734516,0.0
99,ec_alpha_noisy,1.0,6.3169074058532715,5.769731044769287,6.871973037719727,5.851015689322639,7.962578486686089,1.0
99,ec_alpha_noisy,2.0,5.282568454742432,4.71108865737915,5.853200435638428,4.716504464073664,12.001769424381203,1.0
99,ec_alpha_noisy,3.0,4.5100812911987305,3.8956172466278076,5.127469539642334,3.9078035602260175,15.412180312816925,1.0
99,ec_alpha_noisy,5.0,3.4360578060150146,2.7878315448760986,4.130912780761719,2.841578081710171,20.92075977539436,1.0
99,ec_alpha_noisy,10.0,2.0377676486968994,1.4794374704360962,2.654426097869873,1.564196790180722,30.27565722478325,1.0
