seed,variant,spend_multiplier,mean,ci_lo,ci_hi,true_mroi,pct_error,truth_in_ci
7,default,1.0,7.196089744567871,6.75535249710083,7.644618988037109,5.872905259269326,22.53032233425076,0.0
7,default,2.0,4.511127471923828,4.061240196228027,4.988922595977783,4.757402494316447,-5.1766698883863205,1.0
7,default,3.0,3.137789726257324,2.7209789752960205,3.603580951690674,3.9549699876473663,-20.66211030532108,0.0
7,default,5.0,1.8024165630340576,1.4793826341629028,2.1633994579315186,2.888211151555137,-37.59401690338468,0.0
7,default,10.0,0.7227090001106262,0.5536165237426758,0.9200971126556396,1.5976694219054175,-54.764797385387354,0.0
7,ec_alpha_noisy,1.0,7.411241054534912,6.9663166999816895,7.8689470291137695,5.872905259269326,26.193778502345143,0.0
7,ec_alpha_noisy,2.0,5.804564476013184,5.238302230834961,6.395480632781982,4.757402494316447,22.011212693223992,0.0
7,ec_alpha_noisy,3.0,4.710437297821045,4.039552688598633,5.445182800292969,3.9549699876473663,19.101720431084026,0.0
7,ec_alpha_noisy,5.0,3.3281426429748535,2.6311984062194824,4.1070685386657715,2.888211151555137,15.231971221454454,1.0
7,ec_alpha_noisy,10.0,1.7602636814117432,1.227422118186951,2.41577672958374,1.5976694219054175,10.176965101604797,1.0
7,truth,1.0,5.872905259269326,,,5.872905259269326,0.0,
7,truth,2.0,4.757402494316447,,,4.757402494316447,0.0,
7,truth,3.0,3.9549699876473663,,,3.9549699876473663,0.0,
7,truth,5.0,2.888211151555137,,,2.888211151555137,0.0,
7,truth,10.0,1.5976694219054175,,,1.5976694219054175,0.0,
8,default,1.0,6.980031967163086,6.495506763458252,7.459264755249023,5.8545596673661775,19.223859072961336,0.0
8,default,2.0,4.154559135437012,3.693654775619507,4.615117073059082,4.723390990892522,-12.042870398667226,0.0
8,default,3.0,2.8008999824523926,2.398038625717163,3.2129368782043457,3.916179079204355,-28.47875631311918,0.0
8,default,5.0,1.5502307415008545,1.2619940042495728,1.8665727376937864,2.850402409445983,-45.61361805043646,0.0
8,default,10.0,0.595695436000824,0.4550890922546386,0.7554262280464172,1.5711100134809963,-62.08442242176382,0.0
8,ec_alpha_noisy,1.0,7.135761737823486,6.666682720184326,7.61266565322876,5.8545596673661775,21.883833170218423,0.0
8,ec_alpha_noisy,2.0,4.906458854675293,4.352753639221191,5.489189147949219,4.723390990892522,3.8757719641621113,1.0
8,ec_alpha_noisy,3.0,3.6308915615081783,3.0628621578216553,4.25370979309082,3.916179079204355,-7.284843515229089,1.0
