seed,channel,ec_pert_pct,alpha_pert_pct,ec_err_pct,roi_err_pct,alpha_err_pct
1320,TV,-3.848065270317924,-8.285581736342817,-11.878352695041228,15.133163958359352,-0.6167888396267363
1320,Display,10.633212259483793,12.493838370091236,-22.24085045744274,19.803196999872785,32.87117549295531
7,TV,0.03076129489474333,-6.623873844787509,-15.623002582126189,29.40472924939501,21.52833257006279
7,Display,7.7546195893881675,-19.960343044585226,9.187808740608826,-11.368501329939761,8.176505240738251
42,TV,7.915602789984799,20.63662725144122,42.81787872314453,10.024155361217035,-10.206609558796487
42,Display,-22.894539205644282,26.508737543871575,4.328865430130047,-28.12184890912588,-55.44943887196225
8,TV,-35.24547153049045,-28.842656658384925,-52.74691581726074,38.07083102950575,20.073413051231203
8,Display,-28.40611932539637,-8.415142360721283,-24.436591607903356,20.13139099269545,26.290922312302566
99,TV,2.083746371402073,1.2708802512931827,31.402817683451147,5.472493307890458,15.35556652722494
99,Display,-10.961789753319295,18.715261669347292,0.6949259939533325,-2.838275018816494,-12.310266005584902
101,TV,-17.92511410183377,16.279368945782636,-15.584124459160698,-10.685775531444474,-0.24241208066890785
101,Display,-39.86970975565672,20.45109786784267,5.260100442073878,-3.3386426423402615,-33.87500211099772
555,TV,43.954828050401474,-6.3883262321024485,34.964561462402344,13.646036773247827,3.112345810240691
555,Display,-3.6433199565234387,-24.363392616772906,-18.893332542272745,-17.296210656139344,-16.068477786839843
2024,TV,29.332203335232208,33.19977588654457,26.77378124660916,39.799642398087045,41.52300788867444
2024,Display,50.75411333923452,-21.595973905087508,45.93030053302141,-1.279450650071634,39.996691942346494
12345,TV,-29.949675665961372,-19.5605498726944,-40.52936236063639,28.27668503361529,24.117309883542482
12345,Display,37.15372562547976,-6.273885318681138,48.84993740136003,6.718226673516714,21.706083547827326
31337,TV,35.506863064236114,22.764463314832728,7.396094004313158,36.490933608634094,22.174774719286994
31337,Display,-27.66727331965115,24.217018516182232,-8.08540629870672,19.71632604740887,87.24796425310923
