seed,variant,spend_multiplier,mean,ci_lo,ci_hi,true_mroi,pct_error,truth_in_ci
54351,truth,1.0,5.865722283419049,,,5.865722283419049,0.0,
54351,truth,2.0,4.745125143428469,,,4.745125143428469,0.0,
54351,truth,3.0,3.9416734229001302,,,3.9416734229001302,0.0,
54351,truth,5.0,2.8765845397017995,,,2.8765845397017995,0.0,
54351,truth,10.0,1.5911367473651894,,,1.5911367473651894,0.0,
54351,default,1.0,5.291244029998779,4.889505863189697,5.690735816955566,5.865722283419049,-9.793819510415247,0.0
54351,default,2.0,3.38482666015625,3.0070297718048096,3.766711473464966,4.745125143428469,-28.667283625935525,0.0
54351,default,3.0,2.390096664428711,2.059431791305542,2.7436134815216064,3.9416734229001302,-39.36340208849239,0.0
54351,default,5.0,1.4034010171890259,1.156827449798584,1.675153374671936,2.8765845397017995,-51.21294028318357,0.0
54351,default,10.0,0.5818992257118225,0.4520307779312134,0.7302082777023315,1.5911367473651894,-63.428710531925894,0.0
54351,ec_alpha_noisy,1.0,5.508944988250732,5.100893497467041,5.934355735778809,5.865722283419049,-6.0824102800918105,1.0
54351,ec_alpha_noisy,2.0,4.149183750152588,3.6610851287841797,4.642462730407715,4.745125143428469,-12.559023740421281,0.0
54351,ec_alpha_noisy,3.0,3.2743642330169678,2.757948637008667,3.8171699047088623,3.9416734229001302,-16.92959102106897,0.0
54351,ec_alpha_noisy,5.0,2.227238655090332,1.7497042417526245,2.7505552768707275,2.8765845397017995,-22.57350255656946,0.0
54351,ec_alpha_noisy,10.0,1.1203855276107788,0.7933679223060608,1.5207939147949219,1.5911367473651894,-29.58584298514515,0.0
