seed,variant,spend_multiplier,mean,ci_lo,ci_hi,true_mroi,pct_error,truth_in_ci
90033,truth,1.0,5.874088203864066,,,5.874088203864066,0.0,
90033,truth,2.0,4.75931950754827,,,4.75931950754827,0.0,
90033,truth,3.0,3.956833595288288,,,3.956833595288288,0.0,
90033,truth,5.0,2.889558918089668,,,2.889558918089668,0.0,
90033,truth,10.0,1.5979566164129058,,,1.5979566164129058,0.0,
90033,default,1.0,5.589710235595703,5.090627670288086,6.098217487335205,5.874088203864066,-4.841227410941739,1.0
90033,default,2.0,3.491657018661499,3.0345442295074463,3.951253652572632,4.75931950754827,-26.635372701417946,0.0
90033,default,3.0,2.42755126953125,2.041152238845825,2.8435275554656982,3.956833595288288,-38.64914429502606,0.0
90033,default,5.0,1.3974323272705078,1.109830379486084,1.7048860788345337,2.889558918089668,-51.6385591405635,0.0
90033,default,10.0,0.5650994181632996,0.4252154231071472,0.7258642315864563,1.5979566164129058,-64.63612263567985,0.0
90033,ec_alpha_noisy,1.0,5.906416416168213,5.397562026977539,6.422537803649902,5.874088203864066,0.5503528578764127,1.0
90033,ec_alpha_noisy,2.0,4.787019729614258,4.223883628845215,5.378942489624023,4.75931950754827,0.5820206443811093,1.0
90033,ec_alpha_noisy,3.0,3.9888877868652344,3.3456366062164307,4.645944595336914,3.956833595288288,0.8100970335248814,1.0
90033,ec_alpha_noisy,5.0,2.9317076206207275,2.2836456298828125,3.627009391784668,2.889558918089668,1.4586552385969176,1.0
90033,ec_alpha_noisy,10.0,1.6480648517608643,1.1342864036560059,2.2483677864074707,1.5979566164129058,3.135769446635006,1.0
